group,word,count,percentage
you,our,183,0.3201
you,we,516,0.9026
they,they,245,0.4286
you,people,194,0.3393
they,them,77,0.1347
you,german,112,0.1959
you,citizen,9,0.0157
you,us,80,0.1399
threat,war,46,0.0805
you,citizens,52,0.091
threat,loss,6,0.0105
they,migrants,3,0.0052
threat,crisis,21,0.0367
threat,danger,12,0.021
you,home,10,0.0175
they,muslim,16,0.028
they,muslims,14,0.0245
they,leftists,6,0.0105
threat,crime,7,0.0122
they,woke,6,0.0105
they,criminals,3,0.0052
you,germans,22,0.0385
you,homeland,2,0.0035
threat,violence,3,0.0052
threat,threat,5,0.0087
they,liberal,7,0.0122
they,islamist,4,0.007
they,arab,4,0.007
threat,remigration,10,0.0175
threat,invasion,1,0.0017
they,immigrants,2,0.0035
they,foreigners,1,0.0017
threat,flood,8,0.014
threat,wave,5,0.0087
they,outsiders,1,0.0017
they,arabs,1,0.0017
they,enemy,1,0.0017
